阿超	a chao
红莲之弓矢	hong lian zhi gong shi
吉尔伽	ji er jia
吉尔迦	ji er jia
基尔希斯坦	ji er xi si tan
基尔休坦	ji er xiu tan
鸡冠井美智子	ji guan jing mei zhi zi
吉克	ji ke
基斯	ji si
基斯夏迪斯	ji si xia di si
坚持战斗就还没输	jian chi zhan dou jiu hai mei shu
谏山创	jian shan chuang
进击的巨人	jin ji de ju ren
井上麻里奈	jing shang ma li nai
巨人始祖	ju ren shi zu
君达	jun da
君达修兹	jun da xiu zi
卡尔拉	ka er la
卡尔菈	ka er la
卡尔拉耶格尔	ka er la ye ge er
卡尔菈叶卡	ka er la ye ka
卡拉尼斯区	ka la ni si qu
卡罗利纳	ka luo li na
凯洛鲁巴区	kai luo lu ba qu
铠之巨人	kai zhi ju ren
康尼	kang ni
康尼斯普林格	kang ni si pu lin ge
克里斯塔连兹	ke li si ta lian zi
柯尼	ke ni
柯尼史普林格	ke ni shi pu lin ge
莱贝	lai bei
莱纳	lai na
莱纳布朗	lai na bu lang
兰纳	lan na
兰斯	lan si
利艾	li ai
利昂纳德	li ang na de
黎各	li ge
里柯	li ke
利笠	li li
立体机动	li ti ji dong
立体机动装置	li ti ji dong zhuang zhi
里维	li wei
利威尔	li wei er
露丝之墙	lu si zhi qiang
罗塞之墙	luo sai zhi qiang
马布里特	ma bu li te
马尔洛桑德	ma er luo sang de
马可	ma ke
马可博特	ma ke bo te
马可波特	ma ke bo te
马莱帝国	ma lai di guo
马莱战士	ma lai zhan shi
玛丽亚之墙	ma li ya zhi qiang
玛利亚之墙	ma li ya zhi qiang
玛鲁诺	ma lu nuo
马洛	ma luo
麻生智久	ma sheng zhi jiu
美残酷世界	mei can ku shi jie
美丽而残酷的世界	mei li er can ku de shi jie
米卡莎	mi ka sha
米卡莎阿卡曼	mi ka sha a ka man
米克萨卡利亚斯	mi ke sa ka li ya si
米可萨卡利亚斯	mi ke sa ka li ya si
米力伍斯赛姆斯基	mi li wu si sai mu si ji
米利乌斯泽鲁木斯克	mi li wu si ze lu mu si ke
米娜卡罗莱纳	mi na ka luo lai na
米娜卡罗利纳	mi na ka luo li na
米塔比	mi ta bi
莫布里特	mo bu li te
纳克尔斯	na ke er si
纳拿巴	na na ba
纳纳巴	na na ba
奈尔德克	nai er de ke
奈克提亚斯	nai ke ti ya si
尼克神父	ni ke shen fu
尼斯	ni si
女巨人	nv ju ren
女型巨人	nv xing ju ren
女之巨人	nv zhi ju ren
欧鲁	ou lu
欧鲁波扎德	ou lu bo zha de
帕拉迪亚岛	pa la di ya dao
佩特拉	pei te la
佩特拉拉鲁	pei te la la lu
佩托拉拉尔	pei tuo la la er
皮克	pi ke
匹克西斯	pi ke xi si
匹西斯	pi xi si
匹西斯司令	pi xi si si ling
朴璐美	pu lu mei
奇行种	qi xing zhong
奇兹	qi zi
奇兹威尔曼	qi zi wei er man
千叶进步	qian ye jin bu
墙外调查	qiang wai diao cha
桥诘知久	qiao jie zhi jiu
让基尔希斯坦	rang ji er xi si tan
人类兵团	ren lei bing tuan
人类最高统帅	ren lei zui gao tong shuai
萨布尔	sa bu er
萨沙	sa sha
萨莎	sa sha
萨沙布劳斯	sa sha bu lao si
萨莎布劳斯	sa sha bu lao si
三艾	san ai
三道城墙	san dao cheng qiang
三户耕三	san hu geng san
三利	san li
三笠	san li
三笠阿克曼	san li a ke man
三毛	san mao
三毛扎卡里阿斯	san mao zha ka li a si
三上枝织	san shang zhi zhi
三宅健太	san zhai jian tai
莎夏	sha xia
莎夏布劳斯	sha xia bu lao si
山奥组	shan ao zu
神谷浩史	shen gu hao shi
石川由依	shi chuan you yi
史普林格	shi pu lin ge
始祖巨人	shi zu ju ren
守护之蔷薇	shou hu zhi qiang wei
兽之巨人	shou zhi ju ren
手冢秀彰	shou zhong xiu zhang
舒尔茨	shu er ci
四宫豪	si gong hao
斯托海斯区	si tuo hai si qu
讨伐之剑	tao fa zhi jian
特罗斯特	te luo si te
藤田咲	teng tian xiao
藤原启治	teng yuan qi zhi
田久保修平	tian jiu bao xiu ping
田中正彦	tian zhong zheng yan
樋口智透	tong kou zhi tou
土田大	tu tian da
团兵	tuan bing
托洛斯特	tuo luo si te
托洛斯特区	tuo luo si te qu
托玛	tuo ma
托马斯瓦格纳	tuo ma si wa ge na
托马斯乌古纳	tuo ma si wu gu na
王之独角兽	wang zhi du jiao shou
伪三无少女	wei san wu shao nv
梶裕贵	wei yu gui
无垢巨人	wu gou ju ren
希干希纳	xi gan xi na
席冈席纳	xi gang xi na
细谷佳正	xi gu jia zheng
西凛太朗	xi lin tai lang
希娜之墙	xi na zhi qiang
席纳之墙	xi na zhi qiang
希琪	xi qi
西奇	xi qi
希斯托利亚	xi si tuo li ya
夏迪斯	xia di si
下野纮	xia ye hong
宪兵团	xian bing tuan
相川奈都姬	xiang chuan nai dou ji
小林优	xiao lin you
小野大辅	xiao ye da fu
新浪墙	xin lang qiang
星野贵纪	xing ye gui ji
修慈	xiu ci
须嵜成幸	xu qi cheng xing
训练兵团	xun lian bing tuan
亚鲁雷特	ya lu lei te
亚妮	ya ni
亚妮雷恩哈特	ya ni lei en ha te
耶格尔	ye ge er
叶卡	ye ka
叶山郁美	ye shan yu mei
伊安	yi an
一般种	yi ban zhong
伊恩	yi en
伊尔赛兰格纳	yi er sai lan ge na
伊尔泽	yi er ze
伊尔泽兰纳	yi er ze lan na
鹰森淑乃	ying sen shu nai
尤弥尔	you mi er
尤米尔	you mi er
尤弥尔弗里茨	you mi er fu li ci
猿巨人	yuan ju ren
远藤大智	yuan teng da zhi
约翰吉尔吉斯斯坦	yue han ji er ji si si tan
越垒巨人	yue lei ju ren
扎卡里	zha ka li
扎卡里阿斯	zha ka li a si
镇守蔷薇	zhen shou qiang wei
志村知幸	zhi cun zhi xing
执法独角	zhi fa du jiao
驻屯兵团	zhu tun bing tuan
驻扎兵团	zhu zha bing tuan
自由翼	zi you yi
自由之翼	zi you zhi yi
最上嗣生	zui shang si sheng
最外层的墙壁	zui wai ceng de qiang bi
佐藤惠	zuo teng hui
佐耶	zuo ye
