阿怪	a guai
从前为了不想失约连病都不敢痛	cong qian wei le bu xiang shi yue lian bing dou bu gan tong
从前相依那天地	cong qian xiang yi na tian di
从未痴心	cong wei chi xin
打得火热	da de huo re
大的可以装下一百种委屈	da de ke yi zhuang xia yi bai zhong wei qu
大得太快	da de tai kuai
大个女	da ge nv
打回原形	da hui yuan xing
大激想	da ji xiang
大开眼界	da kai yan jie
单车	dan che
淡淡交会过各不留下印	dan dan jiao hui guo ge bu liu xia yin
淡淡交汇过各个不留下印	dan dan jiao hui guo ge ge bu liu xia yin
但你哪知道我想哭	dan ni na zhi dao wo xiang ku
但你只想听听笑话	dan ni zhi xiang ting ting xiao hua
但是经历过最温柔共振	dan shi jing li guo zui wen rou gong zhen
但是经历过最温柔共震	dan shi jing li guo zui wen rou gong zhen
但岁月却不回来不回来	dan sui yue que bu hui lai bu hui lai
但我却要妄想一世保护你才可悲	dan wo que yao wang xiang yi shi bao hu ni cai ke bei
但愿能认的出你的子女	dan yuan neng ren de chu ni de zi nv
当赤道留住雪花	dang chi dao liu zhu xue hua
荡气回肠是为了最美的平凡	dang qi hui chang shi wei le zui mei de ping fan
当心中有恋爱感觉	dang xin zhong you lian ai gan jue
当一餐好教训	dang yi can hao jiao xun
当这地球没有花	dang zhe di qiu mei you hua
道别不可再等你不管有没有机	dao bie bu ke zai deng ni bu guan you mei you ji
到此一游	dao ci yi you
倒带人生	dao dai ren sheng
到哪一天才回想起我蠢	dao na yi tian cai hui xiang qi wo chun
到这日才发现	dao zhe ri cai fa xian
到这日才发现曾呼吸过空气	dao zhe ri cai fa xian ceng hu xi guo kong qi
得不到的永远在骚动	de bu dao de yong yuan zai sao dong
得到注意吗	de dao zhu yi ma
等虚假的背影消失于晴朗	deng xu jia de bei ying xiao shi yu qing lang
等一生都等	deng yi sheng dou deng
低等动物	di deng dong wu
低调	di diao
第五个现代化	di wu ge xian dai hua
第一个雅皮士	di yi ge ya pi shi
第一类接触	di yi lei jie chu
动不动就很感动	dong bu dong jiu hen gan dong
都已失去生气	dou yi shi qu sheng qi
独居动物	du ju dong wu
对不起谢谢	dui bu qi xie xie
对你还有无可救药的期盼	dui ni hai you wu ke jiu yao de qi pan
对你说一句只是说一句	dui ni shuo yi ju zhi shi shuo yi ju
对你我崇拜的太过分	dui ni wo chong bai de tai guo fen
对我沉重的审判	dui wo chen zhong de shen pan
多好玩的东西	duo hao wan de dong xi
多一点	duo yi dian
二个人的夜晚	er ge ren de ye wan
犯错只因失恋太少	fan cuo zhi yin shi lian tai shao
反高潮	fan gao chao
反正是我	fan zheng shi wo
防不胜防	fang bu sheng fang
放下来	fang xia lai
放在你心	fang zai ni xin
非走不可	fei zou bu ke
浮城	fu cheng
浮夸	fu kua
富士山下	fu shi shan xia
改变荒芜了的沙漠	gai bian huang wu le de sha mo
感动	gan dong
感情约	gan qing yue
感情总是善良	gan qing zong shi shan liang
个个个个	ge ge ge ge
歌颂	ge song
歌之王	ge zhi wang
给爱丽丝	gei ai li si
给我玫瑰前来参加丧礼又一世	gei wo mei gui qian lai can jia sang li you yi shi
给欲望找个对象	gei yu wang zhao ge dui xiang
根本不需要被爱	gen ben bu xu yao bei ai
更简单未算罕有	geng jian dan wei suan han you
孤单更可怕	gu dan geng ke pa
孤独探戈	gu du tan ge
孤儿仔	gu er zai
故事	gu shi
怪物	guai wu
过度使用不痒不痛	guo du shi yong bu yang bu tong
还会记得悲伤	hai hui ji de bei shang
还记得我曾经这么说	hai ji de wo ceng jing zhe me shuo
还算难忘	hai suan nan wang
还未看透	hai wei kan tou
还有摩擦留下的图案	hai you mo ca liu xia de tu an
孩子们只会贪玩父母都只会期望	hai zi men zhi hui tan wan fu mu dou zhi hui qi wang
好风景多得是夕阳平常事	hao feng jing duo de shi xi yang ping chang shi
好久不见	hao jiu bu jian
好聚好散	hao ju hao san
好让看起来活得精彩	hao rang kan qi lai huo de jing cai
何不把悲哀感觉	he bu ba bei ai gan jue
和平饭店	he ping fan dian
黑暗中的漫舞	hei an zhong de man wu
黑白灰	hei bai hui
黑面	hei mian
黑夜不再来	hei ye bu zai lai
黑泽明	hei ze ming
红玫瑰	hong mei gui
喉咙很干	hou long hen gan
后台	hou tai
花瓣铺满心里坟场才害怕	hua ban pu man xin li fen chang cai hai pa
滑铁卢车站	hua tie lu che zhan
坏情人	huai qing ren
换季	huan ji
黄金时代	huang jin shi dai
谎言	huang yan
回不到相恋那天	hui bu dao xiang lian na tian
会更珍惜一点	hui geng zhen xi yi dian
汇通天下	hui tong tian xia
会为哪位披嫁衣	hui wei na wei pi jia yi
婚礼的祝福	hun li de zhu fu
活跃症	huo yue zheng
活着多好	huo zhe duo hao
或者我已不会存在	huo zhe wo yi bu hui cun zai
季军	ji jun
寂寞让你更快乐	ji mo rang ni geng kuai le
寂寞它陪我过夜	ji mo ta pei wo guo ye
寂寞奏鸣曲	ji mo zou ming qu
即使再见面	ji shi zai jian mian
几许风雨	ji xu feng yu
记忆却堆满冷的感觉	ji yi que dui man leng de gan jue
假设是来自你虚构	jia she shi lai zi ni xu gou
讲分开可否不再	jiang fen kai ke fou bu zai
讲真天涯途上谁是客	jiang zhen tian ya tu shang shui shi ke
叫几百万人流泪过的歌	jiao ji bai wan ren liu lei guo de ge
借了东西为什么不还	jie le dong xi wei shen me bu hai
结束开始	jie shu kai shi
接下来只可以更加激进	jie xia lai zhi ke yi geng jia ji jin
解药	jie yao
今日	jin ri
今天等我来	jin tian deng wo lai
今天等我来跟我走好吗	jin tian deng wo lai gen wo zou hao ma
竟花光所有运气	jing hua guang suo you yun qi
就让我们虚伪	jiu rang wo men xu wei
就算走到尽头又能算什么	jiu suan zou dao jin tou you neng suan shen me
拒绝永久	ju jue yong jiu
开不了心	kai bu liao xin
看不清的路又算什么	kan bu qing de lu you suan shen me
看不清的梦又算什么	kan bu qing de meng you suan shen me
看看你最近改变	kan kan ni zui jin gai bian
可会撑到底	ke hui cheng dao di
可惜书里从没记载终於摸出来	ke xi shu li cong mei ji zai zhong yu mo chu lai
苦痛说了没人懂	ku tong shuo le mei ren dong
夸张只因我很怕	kua zhang zhi yin wo hen pa
快不快乐有天总过去	kuai bu kuai le you tian zong guo qu
快高长大	kuai gao zhang da
快乐男生	kuai le nan sheng
狂热革命	kuang re ge ming
狂人日记	kuang ren ri ji
垃圾	la ji
来吧送给你	lai ba song gei ni
来好好给我活着就似最初	lai hao hao gei wo huo zhe jiu si zui chu
来年陌生的	lai nian mo sheng de
来年陌生的是昨日最亲的某某	lai nian mo sheng de shi zuo ri zui qin de mou mou
老朋友了再没资格不满足	lao peng you le zai mei zi ge bu man zu
离开你六十	li kai ni liu shi
离开你六十年	li kai ni liu shi nian
例如学会承受失恋	li ru xue hui cheng shou shi lian
脸上的快乐很直接	lian shang de kuai le hen zhi jie
两个人互相地欣赏	liang ge ren hu xiang de xin shang
两个人互相的欣赏	liang ge ren hu xiang de xin shang
两名男子街头相遇	liang ming nan zi jie tou xiang yu
聊天只能假装	liao tian zhi neng jia zhuang
留我做个垃圾	liu wo zuo ge la ji
留下欢乐并无憾	liu xia huan le bing wu han
路一直都在	lu yi zhi dou zai
落单的恋人最怕过节	luo dan de lian ren zui pa guo jie
落花流水	luo hua liu shui
玛丽奥派对	ma li ao pai dui
漫天烽火失散在同年代中	man tian feng huo shi san zai tong nian dai zhong
茫茫人生好像荒野	mang mang ren sheng hao xiang huang ye
茫茫人生好象荒野	mang mang ren sheng hao xiang huang ye
矛盾渐进就己是沉沦	mao dun jian jin jiu ji shi chen lun
每次退后又错过你的世界一点	mei ci tui hou you cuo guo ni de shi jie yi dian
每个人都会说	mei ge ren dou hui shuo
美好的沉淀了	mei hao de chen dian le
美好的沉淀了没有火花不要烧	mei hao de chen dian le mei you huo hua bu yao shao
美好青春的爱情和曾经走过的路	mei hao qing chun de ai qing he ceng jing zou guo de lu
美丽谎言	mei li huang yan
美丽有罪	mei li you zui
美满人生	mei man ren sheng
每秒每晚彷似大盗	mei miao mei wan pang si da dao
没想到再没有拥抱的机会	mei xiang dao zai mei you yong bao de ji hui
每一个明天	mei yi ge ming tian
每一明天爱著你	mei yi ming tian ai zhu ni
没有火花不要烧	mei you huo hua bu yao shao
没有你	mei you ni
没有人懂得做	mei you ren dong de zuo
没有人歌颂	mei you ren ge song
没有手机的日子	mei you shou ji de ri zi
没有说过你要战胜	mei you shuo guo ni yao zhan sheng
没有缘为何为你拼命也很高兴	mei you yuan wei he wei ni pin ming ye hen gao xing
绵绵	mian mian
明晨遇到	ming chen yu dao
明年今日	ming nian jin ri
陌生的都很匹配	mo sheng de dou hen pi pei
那个背包载满记念品和患难	na ge bei bao zai man ji nian pin he huan nan
哪怕遥遥长路多斜	na pa yao yao chang lu duo xie
那生存意义又何在	na sheng cun yi yi you he zai
难道创造我的比我无知	nan dao chuang zao wo de bi wo wu zhi
难道虚伪不是大奸大恶	nan dao xu wei bu shi da jian da e
难道眼泪会比苦笑容易	nan dao yan lei hui bi ku xiao rong yi
难道再没更重要的事	nan dao zai mei geng zhong yao de shi
难怪我永远怀念飞灰	nan guai wo yong yuan huai nian fei hui
难接手的又来等候	nan jie shou de you lai deng hou
难离难舍想抱紧些	nan li nan she xiang bao jin xie
男人的错	nan ren de cuo
能够生存就有恃无恐	neng gou sheng cun jiu you shi wu kong
你爱我爱多些	ni ai wo ai duo xie
你不会相信嫁给我明天有多幸福	ni bu hui xiang xin jia gei wo ming tian you duo xing fu
你不属于我	ni bu shu yu wo
你不要失望	ni bu yao shi wang
你的背包	ni de bei bao
你的背包对我沉重的审判	ni de bei bao dui wo chen zhong de shen pan
你的背包让我走得好缓慢	ni de bei bao rang wo zou de hao huan man
你的不安赢得你信任	ni de bu an ying de ni xin ren
你的陈奕迅国语精选	ni de chen yi xun guo yu jing xuan
你的喜贴是我的请贴	ni de xi tie shi wo de qing tie
你会不会	ni hui bu hui
你会珍惜我吗	ni hui zhen xi wo ma
你却轻易让我的心委屈到极限	ni que qing yi rang wo de xin wei qu dao ji xian
你却用离开烫下句点	ni que yong li kai tang xia ju dian
你是我将来不舍不弃	ni shi wo jiang lai bu she bu qi
你邀我举杯	ni yao wo ju bei
你有多用心我却没有发觉	ni you duo yong xin wo que mei you fa jue
你有否挂念当天这丑小子	ni you fou gua nian dang tian zhe chou xiao zi
你站在这一面心在哪一边	ni zhan zai zhe yi mian xin zai na yi bian
年轻城市换成另一种面目	nian qing cheng shi huan cheng ling yi zhong mian mu
年少梦想失去下落	nian shao meng xiang shi qu xia luo
怕死	pa si
漂亮小姐	piao liang xiao jie
葡萄成熟时	pu tao cheng shu shi
奇就奇在接受了各自有路走	qi jiu qi zai jie shou le ge zi you lu zou
欺骗我难约定未来回头	qi pian wo nan yue ding wei lai hui tou
其实爱情幼稚	qi shi ai qing you zhi
其实怕被忘记	qi shi pa bei wang ji
其实疼爱你乃天性	qi shi teng ai ni nai tian xing
其实我还好祈望你还好	qi shi wo hai hao qi wang ni hai hao
其实我记得	qi shi wo ji de
千金不换它已熟悉我的汗	qian jin bu huan ta yi shu xi wo de han
牵牵手就像旅游	qian qian shou jiu xiang lv you
前事作废当我已经流逝	qian shi zuo fei dang wo yi jing liu shi
亲爱像两兄妹	qin ai xiang liang xiong mei
亲近	qin jin
青春大概相似	qing chun da gai xiang si
情感有若行李	qing gan you ruo xing li
情诫	qing jie
情人忙着爱恋	qing ren mang zhe ai lian
情人只听见承诺大人只寄望收获	qing ren zhi ting jian cheng nuo da ren zhi ji wang shou huo
情深怎么办	qing shen zen me ban
情系我这半生的最爱	qing xi wo zhe ban sheng de zui ai
请用心听不要说话	qing yong xin ting bu yao shuo hua
去讲心中理想	qu jiang xin zhong li xiang
全世界失眠	quan shi jie shi mian
却不让你想入非非	que bu rang ni xiang ru fei fei
却没人像你让我眼泪背着流	que mei ren xiang ni rang wo yan lei bei zhe liu
裙下之臣	qun xia zhi chen
然而每天看见的永远不相似	ran er mei tian kan jian de yong yuan bu xiang si
然后断线风筝会直飞天国	ran hou duan xian feng zheng hui zhi fei tian guo
然后呢	ran hou ne
然后怎样	ran hou zen yang
燃亮烛光只管相拥	ran liang zhu guang zhi guan xiang yong
让那飘啊飘啊的裙	rang na piao a piao a de qun
让那转啊转啊的裙	rang na zhuan a zhuan a de qun
让我对爱有更多了解	rang wo dui ai you geng duo liao jie
让我失去迷途的胆量	rang wo shi qu mi tu de dan liang
让我他朝走的坚壮些	rang wo ta chao zou de jian zhuang xie
热带雨林	re dai yu lin
热岛小夜曲	re dao xiao ye qu
人车志	ren che zhi
人工智能	ren gong zhi neng
人来人往	ren lai ren wang
人浪中想真心告白	ren lang zhong xiang zhen xin gao bai
认了吧	ren le ba
人神斗	ren shen dou
人造卫星	ren zao wei xing
人总需要勇敢生存	ren zong xu yao yong gan sheng cun
仍可同生共死	reng ke tong sheng gong si
仍然沉重待我整理	reng ran chen zhong dai wo zheng li
仍然在傻笑	reng ran zai sha xiao
日记写了很多	ri ji xie le hen duo
如果比辛酸怎跟我比	ru guo bi xin suan zen gen wo bi
如果对于明天没有要求	ru guo dui yu ming tian mei you yao qiu
如果美好记忆	ru guo mei hao ji yi
如果这一秒你跟我讲你不爱我	ru guo zhe yi miao ni gen wo jiang ni bu ai wo
如孩儿能伏于爸爸的肩膊	ru hai er neng fu yu ba ba de jian bo
如何爱你爱到终点	ru he ai ni ai dao zhong dian
如何不懂谦卑	ru he bu dong qian bei
如何不后悔	ru he bu hou hui
如何想你想到六点	ru he xiang ni xiang dao liu dian
如何想你想六点	ru he xiang ni xiang liu dian
如今大了那样感动难重复	ru jin da le na yang gan dong nan chong fu
如若要平庸十一分的平庸	ru ruo yao ping yong shi yi fen de ping yong
如我爱你你爱的他都要走	ru wo ai ni ni ai de ta dou yao zou
若你喜欢怪人其实我很美	ruo ni xi huan guai ren qi shi wo hen mei
若无其事	ruo wu qi shi
若无其事是最残忍的报复	ruo wu qi shi shi zui can ren de bao fu
若无其事原来是最狠的报复	ruo wu qi shi yuan lai shi zui hen de bao fu
若这一刻我竟严重痴呆	ruo zhe yi ke wo jing yan zhong chi dai
若这一束吊灯倾泻下来	ruo zhe yi shu diao deng qing xie xia lai
塞了多少幸福还是有空虚	sai le duo shao xing fu hai shi you kong xu
三个人的探戈	san ge ren de tan ge
三世书不会记载	san shi shu bu hui ji zai
散席时怎么分	san xi shi zen me fen
伤口应要结巴	shang kou ying yao jie ba
伤信	shang xin
伤心花舍	shang xin hua she
伤心证明书	shang xin zheng ming shu
少见不怪	shao jian bu guai
谁人又相信	shei ren you xiang xin
谁人又相信一世一生	shei ren you xiang xin yi shi yi sheng
圣诞结	sheng dan jie
生活别过份地童话化	sheng huo bie guo fen di tong hua hua
时代巨轮	shi dai ju lun
时代曲	shi dai qu
是否幸福轻得太沉重	shi fou xing fu qing de tai chen zhong
时光倒流年	shi guang dao liu nian
世界	shi jie
失恋太少	shi lian tai shao
十面埋伏	shi mian mai fu
十年	shi nian
十年之前	shi nian zhi qian
十年之前我不认识你	shi nian zhi qian wo bu ren shi ni
十年之前我不认识你你不属于我	shi nian zhi qian wo bu ren shi ni ni bu shu yu wo
失去过的人	shi qu guo de ren
世上还赞颂沉默吗	shi shang hai zan song chen mo ma
世事无常还是未看够	shi shi wu chang hai shi wei kan gou
是太平凡还是太过火	shi tai ping fan hai shi tai guo huo
试问谁可洁白无比	shi wen shui ke jie bai wu bi
始终我系我	shi zhong wo xi wo
是昨日最亲的某某	shi zuo ri zui qin de mou mou
首选	shou xuan
熟悉的想讲再会	shu xi de xiang jiang zai hui
谁管他红不红	shui guan ta hong bu hong
谁还记得海誓山盟	shui hai ji de hai shi shan meng
睡好些我想应该会好一点	shui hao xie wo xiang ying gai hui hao yi dian
谁没心酸过哪个没有	shui mei xin suan guo na ge mei you
谁为了生活不变	shui wei le sheng huo bu bian
谁又领会背后那真义	shui you ling hui bei hou na zhen yi
谁在催我成长	shui zai cui wo cheng zhang
谁造爱情故事	shui zao ai qing gu shi
说来实在嘲讽	shuo lai shi zai chao feng
似等了一百年忽已明白	si deng le yi bai nian hu yi ming bai
似木头似石头的话	si mu tou si shi tou de hua
思念的旺季霓虹扫过喧哗的街	si nian de wang ji ni hong sao guo xuan hua de jie
送院途中	song yuan tu zhong
随意门	sui yi men
岁月如歌	sui yue ru ge
所以爱上你的吻	suo yi ai shang ni de wen
所有回忆却慢慢碎成片断	suo you hui yi que man man sui cheng pian duan
他能够让我感动	ta neng gou rang wo gan dong
它是我肩膀上的指环	ta shi wo jian bang shang de zhi huan
他一个人	ta yi ge ren
太空漫游	tai kong man you
摊开双手	tan kai shuang shou
掏空	tao kong
淘汰	tao tai
天公地道	tian gong di dao
天你也有被放弃的那种滋味	tian ni ye you bei fang qi de na zhong zi wei
天气不似如期但要走总要飞	tian qi bu si ru qi dan yao zou zong yao fei
天使的礼物	tian shi de li wu
天网	tian wang
天下太平	tian xia tai ping
天下无双	tian xia wu shuang
天佑爱人	tian you ai ren
挑惹起战争	tiao re qi zhan zheng
跳蚤市场	tiao zao shi chang
听听	ting ting
同样犯不着哀求	tong yang fan bu zhao ai qiu
偷走的青春一天天变老	tou zou de qing chun yi tian tian bian lao
土星环	tu xing huan
颓废混杂着烟味我满脸胡茬	tui fei hun za zhe yan wei wo man lian hu cha
颓废我微熏的嘴对镜子傻笑	tui fei wo wei xun de zui dui jing zi sha xiao
万佛朝宗	wan fo chao zong
玩输可以胜过别人	wan shu ke yi sheng guo bie ren
枉当初苦苦送礼	wang dang chu ku ku song li
忘记歌词	wang ji ge ci
往街里绕过一昼	wang jie li rao guo yi zhou
往街里游过一周	wang jie li you guo yi zhou
望月	wang yue
为何变负担	wei he bian fu dan
为何旧知己	wei he jiu zhi ji
为何旧知己在最后变不到老友	wei he jiu zhi ji zai zui hou bian bu dao lao you
为何我的问题	wei he wo de wen ti
为什么	wei shen me
为什么天南地北不能互相体谅	wei shen me tian nan di bei bu neng hu xiang ti liang
微笑大笑后必须发疯	wei xiao da xiao hou bi xu fa feng
温室效应	wen shi xiao ying
我爱过的人没有一个留在身边	wo ai guo de ren mei you yi ge liu zai shen bian
我爱自己也未爱得起痛也不凄美	wo ai zi ji ye wei ai de qi tong ye bu qi mei
我把幸福看得太简单了点	wo ba xing fu kan de tai jian dan le dian
我便化乌有	wo bian hua wu you
我不好爱	wo bu hao ai
我不认识你	wo bu ren shi ni
我不太懂偏渴望你懂	wo bu tai dong pian ke wang ni dong
我才明白时间较分手还残酷	wo cai ming bai shi jian jiao fen shou hai can ku
我的开始在这里	wo de kai shi zai zhe li
我的快乐时代	wo de kuai le shi dai
我的人生早留在你那里	wo de ren sheng zao liu zai ni na li
我的世界末日	wo de shi jie mo ri
我的最好时代	wo de zui hao shi dai
我多么想和你见一面	wo duo me xiang he ni jian yi mian
我非你杯茶也可尽情的喝吧	wo fei ni bei cha ye ke jin qing de he ba
我感激	wo gan ji
我还是重新许愿	wo hai shi chong xin xu yuan
我很乐意心掏出来	wo hen le yi xin tao chu lai
我会永远守在灯火阑珊的地方	wo hui yong yuan shou zai deng huo lan shan de di fang
我决不罕有	wo jue bu han you
我绝不罕有	wo jue bu han you
我觉悟一定晚过你	wo jue wu yi ding wan guo ni
我没有办法清醒应付新的对决	wo mei you ban fa qing xing ying fu xin de dui jue
我没有想过	wo mei you xiang guo
我们不哭了	wo men bu ku le
我们的回忆没有皱折	wo men de hui yi mei you zhou zhe
我们都寂寞	wo men dou ji mo
我们很努力活得精彩	wo men hen nu li huo de jing cai
我们活在选择的年代	wo men huo zai xuan ze de nian dai
我们伤悲我们流泪	wo men shang bei wo men liu lei
我们选择选择不做阿怪	wo men xuan ze xuan ze bu zuo a guai
我们约会我们再会	wo men yue hui wo men zai hui
我们自由自在选择著未来	wo men zi you zi zai xuan ze zhu wei lai
我怕你不肯	wo pa ni bu ken
我怕谁失望	wo pa shui shi wang
我却得到你安慰的淘汰	wo que de dao ni an wei de tao tai
我却还要故作潇洒地	wo que hai yao gu zuo xiao sa de
我什么都没有	wo shen me dou mei you
我是牛我是牛	wo shi niu wo shi niu
我为谁而忙	wo wei shui er mang
我希望爱我的人不寂寞	wo xi wang ai wo de ren bu ji mo
我希望流浪的人有个窝	wo xi wang liu lang de ren you ge wo
我希望每个人快乐生活	wo xi wang mei ge ren kuai le sheng huo
我希望每个人享受工作	wo xi wang mei ge ren xiang shou gong zuo
我希望没有一生有苹果	wo xi wang mei you yi sheng you ping guo
我希望世界和平没战火	wo xi wang shi jie he ping mei zhan huo
我希望我爱的人喜欢我	wo xi wang wo ai de ren xi huan wo
我希望我的希望不算多	wo xi wang wo de xi wang bu suan duo
我希望一家几口好好过	wo xi wang yi jia ji kou hao hao guo
我希望长大以后不犯错	wo xi wang zhang da yi hou bu fan cuo
我希望主义不是个枷锁	wo xi wang zhu yi bu shi ge jia suo
我想见的笑脸只有怀念	wo xiang jian de xiao lian zhi you huai nian
我想什么没人懂	wo xiang shen me mei ren dong
我也不会那么做	wo ye bu hui na me zuo
我以为你懂得每当我看着你	wo yi wei ni dong de mei dang wo kan zhe ni
我有我爱你	wo you wo ai ni
我怎么可以哭	wo zen me ke yi ku
我只得千语万言	wo zhi de qian yu wan yan
我只能回敬我的崩溃	wo zhi neng hui jing wo de beng kui
我只想要你最后的答案	wo zhi xiang yao ni zui hou de da an
我终于放开了她	wo zhong yu fang kai le ta
我终于相信有些人我永远不必等	wo zhong yu xiang xin you xie ren wo yong yuan bu bi deng
我住的城巿从不下雪	wo zhu de cheng fu cong bu xia xue
我最初只贪玩	wo zui chu zhi tan wan
我最疯狂的错	wo zui feng kuang de cuo
我坐立难安望眼欲穿	wo zuo li nan an wang yan yu chuan
无论聪颖或愚笨	wu lun cong ying huo yu ben
无奈已太泛味	wu nai yi tai fan wei
五星级的家	wu xing ji de jia
五星级迫爆	wu xing ji po bao
五星连珠	wu xing lian zhu
习惯无常才会庆幸	xi guan wu chang cai hui qing xing
细路	xi lu
戏迷情人	xi mi qing ren
夕阳无限好	xi yang wu xian hao
下周同样时间	xia zhou tong yang shi jian
现场直播	xian chang zhi bo
现在才说也许太晚了一点	xian zai cai shuo ye xu tai wan le yi dian
想开往地老天荒需要多勇敢	xiang kai wang di lao tian huang xu yao duo yong gan
想哭	xiang ku
相恋再苦	xiang lian zai ku
享受被爱滋味	xiang shou bei ai zi wei
享受却不知情	xiang shou que bu zhi qing
想听	xiang ting
像一句广告	xiang yi ju guang gao
小孩不懂怕	xiao hai bu dong pa
小孩不要怕	xiao hai bu yao pa
谢霆锋陈奕迅	xie ting feng chen yi xun
谢谢	xie xie
谢谢你的照顾你的离开	xie xie ni de zhao gu ni de li kai
谢谢侬	xie xie nong
新广告歌	xin guang gao ge
心里有鬼	xin li you gui
新美人主意	xin mei ren zhu yi
新曲精选	xin qu jing xuan
心深伤透	xin shen shang tou
新生活	xin sheng huo
信心花舍	xin xin hua she
幸福	xing fu
幸福的失眠	xing fu de shi mian
幸福的失眠只是因为害怕闭上眼	xing fu de shi mian zhi shi yin wei hai pa bi shang yan
幸福和那双球鞋放记忆最深处	xing fu he na shuang qiu xie fang ji yi zui shen chu
幸福摩天轮	xing fu mo tian lun
幸福是个秘密	xing fu shi ge mi mi
幸灾乐祸	xing zai le huo
兄弟	xiong di
兄弟一场从来不分你我	xiong di yi chang cong lai bu fen ni wo
兄妹	xiong mei
