埃尔莎	ai er sha
就在此时就在此地	jiu zai ci shi jiu zai ci di
巨石强森	ju shi qiang sen
绝不放慢速度	jue bu fang man su du
军用核潜艇	jun yong he qian ting
柯迪	ke di
科恩	ke en
克莱斯勒	ke lai si le
克里斯托弗	ke li si tuo fu
科尼塞克	ke ni sai ke
库尔特	ku er te
拉塞尔	la sai er
拉文	la wen
莱蒂	lai di
雷克萨斯	lei ke sa si
雷诺	lei nuo
联邦探员	lian bang tan yuan
林伯格	lin bo ge
凌志	ling zhi
卢达克里斯	lu da ke li si
路虎卫士	lu hu wei shi
鲁吉尼斯	lu ji ni si
卢卡斯	lu ka si
卢克	lu ke
罗伯	luo bo
罗德里格兹	luo de li ge zi
罗曼皮尔斯	luo man pi er si
马特	ma te
马自达	ma zi da
漫长的旅程	man chang de lv cheng
美属萨摩亚	mei shu sa mo ya
没有老友你的陪伴	mei you lao you ni de pei ban
没有你的陪伴	mei you ni de pei ban
没有你我该如何苟活	mei you ni wo gai ru he gou huo
没有你我有多难过	mei you ni wo you duo nan guo
门徒	men tu
米伦	mi lun
米歇尔	mi xie er
米娅	mi ya
铭记与我的曾经	ming ji yu wo de ceng jing
那都会通向你的家	na dou hui tong xiang ni de jia
那光芒引导你的前路	na guang mang yin dao ni de qian lu
娜塔莉	na ta li
你不认识我	ni bu ren shi wo
你的家庭要珍惜他们	ni de jia ting yao zhen xi ta men
你马上会认识了	ni ma shang hui ren shi le
你却离我而去	ni que li wo er qu
尼桑	ni sang
你是个出色的女人	ni shi ge chu se de nv ren
你现在要为我做事	ni xian zai yao wei wo zuo shi
你要抛弃这个家庭吗	ni yao pao qi zhe ge jia ting ma
你一旦踏入那扇门	ni yi dan ta ru na shan men
你永远在我身边	ni yong yuan zai wo shen bian
宁愿粉身碎骨	ning yuan fen shen sui gu
帕塔奇	pa ta qi
漂移高手	piao yi gao shou
普利茅斯	pu li mao si
汽车不能飞	qi che bu neng fei
骑士十五士	qi shi shi wu shi
前科	qian ke
前面的对手	qian mian de dui shou
强森	qiang sen
乔丹娜	qiao dan na
亲吻姑娘的时候	qin wen gu niang de shi hou
人生很简单	ren sheng hen jian dan
日子真是漫长	ri zi zhen shi man chang
如果你不好好表现	ru guo ni bu hao hao biao xian
如果你想使用暴力	ru guo ni xiang shi yong bao li
如同大赦和特赦	ru tong da she he te she
塞隆	sai long
莎莉兹塞隆	sha li zi sai long
瞬间点燃黑夜	shun jian dian ran hei ye
斯巴鲁翼豹	si ba lu yi bao
斯查尔兹	si cha er zi
斯科特	si ke te
斯坦森	si tan sen
速八	su ba
速度与激情第八部	su du yu ji qing di ba bu
速激	su ji
速激系列	su ji xi lie
宿命的注脚	su ming de zhu jiao
他去也有个照应	ta qu ye you ge zhao ying
他是个不错的男人	ta shi ge bu cuo de nan ren
她在地狱走一遭	ta zai di yu zou yi zao
泰德	tai de
泰瑞斯	tai rui si
唐老大	tang lao da
汤姆	tang mu
汤普森	tang pu sen
徒手扒鱼雷	tu shou ba yu lei
托莱多	tuo lai duo
娃娃脸女汉子	wa wa lian nv han zi
为何当我最需要你时	wei he dang wo zui xu yao ni shi
为何你会如此选择	wei he ni hui ru ci xuan ze
为何你会突然离开	wei he ni hui tu ran li kai
维托	wei tuo
维兹卡利法	wei zi ka li fa
我不知该如何对你说	wo bu zhi gai ru he dui ni shuo
我才会闭眼	wo cai hui bi yan
我从不害怕死亡	wo cong bu hai pa si wang
我从来不参与游戏	wo cong lai bu can yu you xi
我根本没得选	wo gen ben mei de xuan
我更需要你的相伴	wo geng xu yao ni de xiang ban
我会在原地为你等待	wo hui zai yuan di wei ni deng dai
我活着的理念	wo huo zhe de li nian
我就弄死你	wo jiu nong si ni
我就让你闭嘴	wo jiu rang ni bi zui
沃克斯豪尔	wo ke si hao er
我没有朋友	wo mei you peng you
我们出生的那天	wo men chu sheng de na tian
我们的热火	wo men de re huo
我们都要超越	wo men dou yao chao yue
我们亲如一家	wo men qin ru yi jia
我们是把彼此当家人	wo men shi ba bi ci dang jia ren
我们是家人	wo men shi jia ren
我什么都不知道	wo shen me dou bu zhi dao
无论你身处何方	wu lun ni shen chu he fang
无论你选哪一条路	wu lun ni xuan na yi tiao lu
无名氏先生	wu ming shi xian sheng
细腻捕捉	xi ni bu zhuo
现象级影片	xian xiang ji ying pian
想钓大鱼得到深水去	xiang diao da yu de dao shen shui qu
肖大哥	xiao da ge
肖二哥	xiao er ge
携手走过	xie shou zou guo
新款三菱	xin kuan san ling
行动组长官	xing dong zu zhang guan
雪佛兰	xue fo lan
也永远是我的兄弟	ye yong yuan shi wo de xiong di
伊曼纽尔	yi man niu er
一切都改变了	yi qie dou gai bian le
伊斯特伍德	yi si te wu de
尹成植	yin cheng zhi
有人评头论足	you ren ping tou lun zu
有事大家一起扛	you shi da jia yi qi kang
有时你只需依靠信念	you shi ni zhi xu yi kao xin nian
与你重逢之时	yu ni chong feng zhi shi
咱们可以试试	zan men ke yi shi shi
詹姆斯温	zhan mu si wen
这该是多漫长的征程	zhe gai shi duo man chang de zheng cheng
这些词就消失了	zhe xie ci jiu xiao shi le
震撼演绎	zhen han yan yi
直到你归家的那一天	zhi dao ni gui jia de na yi tian
只害怕无疾而终	zhi hai pa wu ji er zhong
只觉一阵寒意袭来	zhi jue yi zhen han yi xi lai
装甲车	zhuang jia che
最后一段征程	zui hou yi duan zheng cheng
最可贵的就是家庭	zui ke gui de jiu shi jia ting
做了决定就不要后悔	zuo le jue ding jiu bu yao hou hui
