阿怪	a guai
伤心花舍	shang xin hua she
伤心证明书	shang xin zheng ming shu
少见不怪	shao jian bu guai
圣诞结	sheng dan jie
时代巨轮	shi dai ju lun
时代曲	shi dai qu
时光倒流年	shi guang dao liu nian
世界	shi jie
失恋太少	shi lian tai shao
十面埋伏	shi mian mai fu
十年	shi nian
始终我系我	shi zhong wo xi wo
送院途中	song yuan tu zhong
随意门	sui yi men
岁月如歌	sui yue ru ge
他一个人	ta yi ge ren
太空漫游	tai kong man you
摊开双手	tan kai shuang shou
掏空	tao kong
淘汰	tao tai
天公地道	tian gong di dao
天使的礼物	tian shi de li wu
天网	tian wang
天下太平	tian xia tai ping
天下无双	tian xia wu shuang
天佑爱人	tian you ai ren
跳蚤市场	tiao zao shi chang
听听	ting ting
土星环	tu xing huan
万佛朝宗	wan fo chao zong
忘记歌词	wang ji ge ci
望月	wang yue
温室效应	wen shi xiao ying
我不好爱	wo bu hao ai
我的开始在这里	wo de kai shi zai zhe li
我的快乐时代	wo de kuai le shi dai
我的世界末日	wo de shi jie mo ri
我的最好时代	wo de zui hao shi dai
我感激	wo gan ji
我们不哭了	wo men bu ku le
我们都寂寞	wo men dou ji mo
我怕你不肯	wo pa ni bu ken
我什么都没有	wo shen me dou mei you
我也不会那么做	wo ye bu hui na me zuo
我有我爱你	wo you wo ai ni
我怎么可以哭	wo zen me ke yi ku
我终于放开了她	wo zhong yu fang kai le ta
五星级的家	wu xing ji de jia
五星级迫爆	wu xing ji po bao
五星连珠	wu xing lian zhu
细路	xi lu
戏迷情人	xi mi qing ren
夕阳无限好	xi yang wu xian hao
下周同样时间	xia zhou tong yang shi jian
现场直播	xian chang zhi bo
想哭	xiang ku
想听	xiang ting
像一句广告	xiang yi ju guang gao
小孩不懂怕	xiao hai bu dong pa
小孩不要怕	xiao hai bu yao pa
谢霆锋陈奕迅	xie ting feng chen yi xun
谢谢	xie xie
谢谢侬	xie xie nong
心里有鬼	xin li you gui
新美人主意	xin mei ren zhu yi
心深伤透	xin shen shang tou
新生活	xin sheng huo
信心花舍	xin xin hua she
幸福	xing fu
幸福摩天轮	xing fu mo tian lun
幸灾乐祸	xing zai le huo
兄弟	xiong di
兄妹	xiong mei
学会爱	xue hui ai
寻人	xun ren
呀边个边个	ya bian ge bian ge
演唱会	yan chang hui
眼眉调	yan mei tiao
烟味	yan wei
阳性反应	yang xing fan ying
要你的	yao ni de
遥远的她	yao yuan de ta
一滴眼泪	yi di yan lei
一个人	yi ge ren
一疋布	yi pi bu
一切还好	yi qie hai hao
一生中最爱	yi sheng zhong zui ai
一夜销魂	yi ye xiao hun
英皇钢琴热恋系列	ying huang gang qin re lian xi lie
拥抱这分钟	yong bao zhe fen zhong
永远都天明	yong yuan dou tian ming
有了你	you le ni
游离分子	you li fen zi
有意无意	you yi wu yi
预感	yu gan
遇见了你	yu jian le ni
与我常在	yu wo chang zai
冤家	yuan jia
原来这样没有你	yuan lai zhe yang mei you ni
冤气	yuan qi
月黑风高	yue hei feng gao
月球上的人	yue qiu shang de ren
月日晴	yue ri qing
粤语残片	yue yu can pian
酝酿	yun niang
早开的长途班	zao kai de chang tu ban
怎麼样	zen mo yang
只是近黄昏	zhi shi jin huang hun
终于一了百了	zhong yu yi liao bai liao
转机	zhuan ji
专家话	zhuan jia hua
最后的嬉皮士	zui hou de xi pi shi
最佳损友	zui jia sun you
昨日	zuo ri
