阿尔法	a er fa
干什么客干什么客东亚豺的招牌	gan shen me ke gan shen me ke dong ya chai de zhao pai
搁浅	ge qian
隔遥远的距离	ge yao yuan de ju li
给我一首歌的时间	gei wo yi shou ge de shi jian
古巴比伦王颁布了汉摩拉比法典	gu ba bi lun wang ban bu le han mo la bi fa dian
古堡里一片荒芜长满杂草的泥土	gu bao li yi pian huang wu zhang man za cao de ni tu
古堡主人威廉二世满脸的落腮胡	gu bao zhu ren wei lian er shi man lian de luo sai hu
鼓励你多去回忆是吧	gu li ni duo qu hui yi shi ba
故事的小黄花	gu shi de xiao huang hua
故事在城外浓雾散不开	gu shi zai cheng wai nong wu san bu kai
刮风这天我试过握着你手	gua feng zhe tian wo shi guo wo zhe ni shou
灌篮	guan lan
轨迹	gui ji
桂纶镁	gui lun mei
哈啦	ha la
海盗	hai dao
还来不及仔仔细细写下你的关于	hai lai bu ji zi zi xi xi xie xia ni de guan yu
害怕再也不能回到你身边	hai pa zai ye bu neng hui dao ni shen bian
海上冲浪吸引她目光	hai shang chong lang xi yin ta mu guang
还是让人难过心伤透	hai shi rang ren nan guo xin shang tou
还要多久我才能够在你身边	hai yao duo jiu wo cai neng gou zai ni shen bian
还要多久我才能在你身边	hai yao duo jiu wo cai neng zai ni shen bian
还有考卷的答案	hai you kao juan de da an
还有没有人知道	hai you mei you ren zhi dao
还在回味你给过的温柔	hai zai hui wei ni gei guo de wen rou
还真是瞎透了什么都有	hai zhen shi xia tou le shen me dou you
好不容易又能再多爱一天	hao bu rong yi you neng zai duo ai yi tian
好多的假像妈妈常说乖	hao duo de jia xiang ma ma chang shuo guai
好想再问一遍	hao xiang zai wen yi bian
何必让酒牵鼻子走	he bi rang jiu qian bi zi zou
河边的风	he bian de feng
河滨公园	he bin gong yuan
黑板是吸收知识的地方	hei ban shi xi shou zhi shi de di fang
嘿你这样说我有一点伤心	hei ni zhe yang shuo wo you yi dian shang xin
黑色毛衣	hei se mao yi
黑色幽默	hei se you mo
黑夜里偷袭去攻击	hei ye li tou xi qu gong ji
黑雨	hei yu
很多的梦在等待着进行	hen duo de meng zai deng dai zhe jin xing
很多人不长眼睛嚣张都靠武器	hen duo ren bu chang yan jing xiao zhang dou kao wu qi
很少笑吃全麦的面包	hen shao xiao chi quan mai de mian bao
哼快使用双截棍哼哼哈兮	heng kuai shi yong shuang jie gun heng heng ha xi
哼我真想撕掉换回自然	heng wo zhen xiang si diao huan hui zi ran
红模仿	hong mo fang
后一秒诬赖我	hou yi miao wu lai wo
胡同里的猫	hu tong li de mao
胡同里有只猫	hu tong li you zhi mao
互相残杀的动物真美	hu xiang can sha de dong wu zhen mei
画成油画	hua cheng you hua
花海	hua hai
花开就一次成熟我却错过	hua kai jiu yi ci cheng shu wo que cuo guo
花落的那一天	hua luo de na yi tian
花落人断肠我心事静静淌	hua luo ren duan chang wo xin shi jing jing tang
话说完飞过一只海鸥	hua shuo wan fei guo yi zhi hai ou
花已向晚	hua yi xiang wan
恍恍惚惚是谁的脚步	huang huang hu hu shi shui de jiao bu
黄金葛爬满了雕花的门窗	huang jin ge pa man le diao hua de men chuang
黄金甲	huang jin jia
荒烟漫草的年头就连分手都	huang yan man cao de nian tou jiu lian fen shou dou
会不会稍嫌狼狈	hui bu hui shao xian lang bei
会不会有人可以明白	hui bu hui you ren ke yi ming bai
回到过去	hui dao guo qu
会更现实更自私	hui geng xian shi geng zi si
灰狼啃食着水鹿的骨头	hui lang ken shi zhao shui lu de gu tou
回头看的片段有一些风霜	hui tou kan de pian duan you yi xie feng shuang
回我的外婆家	hui wo de wai po jia
回想起你的可爱	hui xiang qi ni de ke ai
回转技巧乒乓	hui zhuan ji qiao ping pang
火车叨位去	huo che dao wei qu
火气我沮丧的很生气	huo qi wo ju sang de hen sheng qi
或许你是对的	huo xu ni shi dui de
活着	huo zhe
基本礼貌叩要先问	ji ben li mao kou yao xian wen
记得你叫我忘了吧	ji de ni jiao wo wang le ba
几里外马蹄上的尘土	ji li wai ma ti shang de chen tu
鸡排饭	ji pai fan
几十个世纪后出土发现	ji shi ge shi ji hou chu tu fa xian
祭司神殿征战弓箭是谁的从前	ji si shen dian zheng zhan gong jian shi shui de cong qian
几天都没有喝水也能活	ji tian dou mei you he shui ye neng huo
极细腻犹如绣花针落地	ji xi ni you ru xiu hua zhen luo di
继续下去不需要理由	ji xu xia qu bu xu yao li you
几只水牛却变成画挂在墙壁上	ji zhi shui niu que bian cheng hua gua zai qiang bi shang
记住我的模样	ji zhu wo de mu yang
家乡的爹娘早已苍老了轮廓	jia xiang de die niang zao yi cang lao le lun kuo
加一颗奶球我搅拌害羞	jia yi ke nai qiu wo jiao ban hai xiu
坚持学单纯的小孩	jian chi xue dan chun de xiao hai
简单爱	jian dan ai
简单动作叩也不等	jian dan dong zuo kou ye bu deng
箭矢漫天飞舞	jian shi man tian fei wu
酱对还是不对	jiang dui hai shi bu dui
将军	jiang jun
将甜度调高后再牵手	jiang tian du tiao gao hou zai qian shou
将愿望折纸飞机寄成信	jiang yuan wang zhe zhi fei ji ji cheng xin
教室的那一间	jiao shi de na yi jian
街角的消防栓上的红色油漆	jie jiao de xiao fang shuan shang de hong se you qi
借口	jie kou
姐你睡了吗	jie ni shui le ma
杰威尔	jie wei er
接下来换介绍我自己	jie xia lai huan jie shao wo zi ji
接着紧紧闭上眼	jie zhe jin jin bi shang yan
今天我要表扬一位同学	jin tian wo yao biao yang yi wei tong xue
经不起谁来拆	jing bu qi shui lai chai
京都的夜晚	jing du de ye wan
经过苏美女神身边	jing guo su mei nv shen shen bian
静静看守这份爱	jing jing kan shou zhe fen ai
竟然先对我示好	jing ran xian dui wo shi hao
竟然在城墙上遮蔽了日出	jing ran zai cheng qiang shang zhe bi le ri chu
景色入秋漫天黄沙凉过	jing se ru qiu man tian huang sha liang guo
景色入秋漫天黄沙掠过	jing se ru qiu man tian huang sha lue guo
就当我为遇见你伏笔	jiu dang wo wei yu jian ni fu bi
旧地如重游月圆更寂寞	jiu di ru chong you yue yuan geng ji mo
就是开不了口让她知道	jiu shi kai bu liao kou rang ta zhi dao
就是那么简单几句我办不到	jiu shi na me jian dan ji ju wo ban bu dao
就算放开那能不能别没收我的爱	jiu suan fang kai na neng bu neng bie mo shou wo de ai
就因为喝醉酒他就能拿我妈出气	jiu yin wei he zui jiu ta jiu neng na wo ma chu qi
菊花残满地伤	ju hua can man di shang
菊花台	ju hua tai
距今已经三千七百多年	ju jin yi jing san qian qi bai duo nian
居酒屋里的小神龛	ju jiu wu li de xiao shen kan
决定穿什么外套	jue ding chuan shen me wai tao
开不了口	kai bu liao kou
开始冥想这场战役	kai shi ming xiang zhe chang zhan yi
看不见你的笑	kan bu jian ni de xiao
看不见你的笑我怎么睡得着	kan bu jian ni de xiao wo zen me shui de zhao
看不清对白你听不出来	kan bu qing dui bai ni ting bu chu lai
看着窗外的牛啃草	kan zhe chuang wai de niu ken cao
看着远方别当路人甲	kan zhe yuan fang bie dang lu ren jia
康晋荣	kang jin rong
靠在你肩膀	kao zai ni jian bang
靠着回忆	kao zhe hui yi
可爱女人	ke ai nv ren
可不可以不要这个奖	ke bu ke yi bu yao zhe ge jiang
可怜可悲	ke lian ke bei
客厅壁炉零下的温度	ke ting bi lu ling xia de wen du
渴望在天空一角做记号	ke wang zai tian kong yi jiao zuo ji hao
刻在黑色的玄武岩	ke zai hei se de xuan wu yan
空气太糟需要有氧气	kong qi tai zao xu yao you yang qi
快疯掉	kuai feng diao
快疯掉快疯掉	kuai feng diao kuai feng diao
快过期的草莓	kuai guo qi de cao mei
快使用双截棍哼	kuai shi yong shuang jie gun heng
快使用双截棍哼哼哈兮	kuai shi yong shuang jie gun heng heng ha xi
狂胜之中我却黯然语带悲伤	kuang sheng zhi zhong wo que an ran yu dai bei shang
困兽之斗	kun shou zhi dou
来不及踏上未来	lai bu ji ta shang wei lai
来电显示给个甜蜜的昵称	lai dian xian shi gei ge tian mi de ni cheng
赖着不走会让人很感冒	lai zhe bu zou hui rang ren hen gan mao
蓝色风暴	lan se feng bao
浪漫手机	lang man shou ji
老板先来杯奶昔要逃命前请你	lao ban xian lai bei nai xi yao tao ming qian qing ni
老唱盘旧皮箱	lao chang pan jiu pi xiang
老街坊小弄堂	lao jie fang xiao long tang
姥姥当年酿的豆瓣酱	lao lao dang nian niang de dou ban jiang
篱笆外的古道我牵着你走过	li ba wai de gu dao wo qian zhe ni zou guo
离开也不随手关灯	li kai ye bu sui shou guan deng
离铺满鹅卵石的玄关	li pu man e luan shi de xuan guan
利用对还是不对	li yong dui hai shi bu dui
恋爱的方式无法拿笔来抄	lian ai de fang shi wu fa na bi lai chao
连隔壁邻居都猜到	lian ge bi lin ju dou cai dao
帘外芭蕉惹骤雨门环惹铜绿	lian wai ba jiao re zhou yu men huan re tong lv
两个寂寞	liang ge ji mo
猎物死了他比谁都难过	lie wu si le ta bi shui dou nan guo
临摹宋体落款时却惦记著你	lin mo song ti luo kuan shi que dian ji zhu ni
流浪车票	liu lang che piao
流一点汗你成了型男	liu yi dian han ni cheng le xing nan
留着我们长大的梦	liu zhe wo men zhang da de meng
六壮士	liu zhuang shi
龙卷风	long juan feng
龙拳	long quan
龙战骑士	long zhan qi shi
路深处翠落的孟宗竹	lu shen chu cui luo de meng zong zhu
乱石堆上有雾	luan shi dui shang you wu
乱舞春秋	luan wu chun qiu
落寞近乡情怯的我	luo mo jin xiang qing qie de wo
落雨声	luo yu sheng
马上到训导处来	ma shang dao xun dao chu lai
马蹄声狂乱	ma ti sheng kuang luan
麦芽糖	mai ya tang
慢歌	man ge
满脸风霜	man lian feng shuang
每次沟通不来	mei ci gou tong bu lai
没关系	mei guan xi
没关系慢慢来	mei guan xi man man lai
每天都遇上充满敌意那种眼光	mei tian dou yu shang chong man di yi na zhong yan guang
每天决斗观众都累了英雄也累了	mei tian jue dou guan zhong dou lei le ying xiong ye lei le
没想到失去的勇气我还留着	mei xiang dao shi qu de yong qi wo hai liu zhe
没有操场的自然	mei you cao chang de zi ran
没有地球太阳还是会绕	mei you di qiu tai yang hai shi hui rao
没有地球太阳开始环绕环绕	mei you di qiu tai yang kai shi huan rao huan rao
没有理由我也能自己走	mei you li you wo ye neng zi ji zou
没有理由我也能自己走掉	mei you li you wo ye neng zi ji zou diao
没有你烦我有多烦恼	mei you ni fan wo you duo fan nao
没有你烦我有多烦恼多难熬	mei you ni fan wo you duo fan nao duo nan ao
没有你在我有多难熬	mei you ni zai wo you duo nan ao
没有你在我有多难熬多烦恼	mei you ni zai wo you duo nan ao duo fan nao
没有预兆出乎预料	mei you yu zhao chu hu yu liao
闷闷的很干燥	men men de hen gan zao
门上流苏线条在摇晃炫耀	men shang liu su xian tiao zai yao huang xuan yao
朦胧的时间	meng long de shi jian
梦醒来是谁在窗台	meng xing lai shi shui zai chuang tai
梦在远方化成一缕香	meng zai yuan fang hua cheng yi lv xiang
迷迭香	mi die xiang
米兰的小铁匠	mi lan de xiao tie jiang
秘密躺在我怀抱	mi mi tang zai wo huai bao
面店旁的小水沟	mian dian pang de xiao shui gou
面具	mian ju
描述我如何爱你	miao shu wo ru he ai ni
命格无双一统江山	ming ge wu shuang yi tong jiang shan
魔杰座	mo jie zuo
莫名其妙在画面中的我	mo ming qi miao zai hua mian zhong de wo
默默的在等著我	mo mo de zai deng zhu wo
默默等待娘子	mo mo deng dai niang zi
默默等著我	mo mo deng zhu wo
默契无法伪造	mo qi wu fa wei zao
牧草有没有	mu cao you mei you
拿到奖状	na dao jiang zhuang
拿给下一代下一代回味	na gei xia yi dai xia yi dai hui wei
那骄傲才不会寂寞得很无聊	na jiao ao cai bu hui ji mo de hen wu liao
那里蓝色最好	na li lan se zui hao
那里神社许愿闪过一个画面	na li shen she xu yuan shan guo yi ge hua mian
那历史已模糊	na li shi yi mo hu
哪里有彩虹告诉我	na li you cai hong gao su wo
那么会扯去扯铃	na me hui che qu che ling
那想念的身影	na xiang nian de shen ying
那些多余的画面全被跳过	na xie duo yu de hua mian quan bei tiao guo
那颜色我不太喜欢	na yan se wo bu tai xi huan
那样清晰打过勾的我相信	na yang qing xi da guo gou de wo xiang xin
那样真心	na yang zhen xin
那已风化千年的誓言	na yi feng hua qian nian de shi yan
那一块在我梦里的干净天空	na yi kuai zai wo meng li de gan jing tian kong
那在终点之前我愿意再爱一遍	na zai zhong dian zhi qian wo yuan yi zai ai yi bian
难道你手不会痛吗	nan dao ni shou bu hui tong ma
难道这不是我要的天堂景象	nan dao zhe bu shi wo yao de tian tang jing xiang
难怪大人们说我们永远都长不大	nan guai da ren men shuo wo men yong yuan dou zhang bu da
脑袋瓜	nao dai gua
脑袋瓜有一点秀逗	nao dai gua you yi dian xiu dou
脑海中还在旋转	nao hai zhong hai zai xuan zhuan
能不能把我的愿望还给我	neng bu neng ba wo de yuan wang huan gei wo
能知道你前世是狼人还是蝙蝠	neng zhi dao ni qian shi shi lang ren hai shi bian fu
你爱过头竟然答应我	ni ai guo tou jing ran da ying wo
泥板上的字迹依然清晰可见	ni ban shang de zi ji yi ran qing xi ke jian
你被当成笑话	ni bei dang cheng xiao hua
你比从前快乐	ni bi cong qian kuai le
你的爱反覆徘徊	ni de ai fan fu pai huai
你的爱太多想随身带走	ni de ai tai duo xiang sui shen dai zou
你的发香散得匆忙	ni de fa xiang san de cong mang
你的泪光	ni de lei guang
你的脸慢慢离开	ni de lian man man li kai
你的模样	ni de mu yang
你的身影这么近我却抱不到	ni de shen ying zhe me jin wo que bao bu dao
你的微笑像拥抱	ni de wei xiao xiang yong bao
你的温柔像羽毛	ni de wen rou xiang yu mao
你的香味一直徘徊	ni de xiang wei yi zhi pai huai
你的笑容已泛黄	ni de xiao rong yi fan huang
你的眼中只有我	ni de yan zhong zhi you wo
你的影子剪不断	ni de ying zi jian bu duan
你嘟嘴许的愿望很卑微在妥协	ni du zui xu de yuan wang hen bei wei zai tuo xie
你会等待还是离开	ni hui deng dai hai shi li kai
你会看不见	ni hui kan bu jian
你继续不敌我致命的一击	ni ji xu bu di wo zhi ming de yi ji
你继续我敲木鱼	ni ji xu wo qiao mu yu
你看来虽不像坏蛋	ni kan lai sui bu xiang huai dan
你靠着我的肩膀	ni kao zhe wo de jian bang
你了吗很了吗	ni le ma hen le ma
你离去的痕迹	ni li qu de hen ji
你脸上的情绪	ni lian shang de qing xu
逆鳞	ni lin
你们并不想听	ni men bing bu xiang ting
你们可能永远不能体会	ni men ke neng yong yuan bu neng ti hui
你们一起上我在赶时间	ni men yi qi shang wo zai gan shi jian
你默背为我掉过几次泪多憔悴	ni mo bei wei wo diao guo ji ci lei duo qiao cui
你去你再去	ni qu ni zai qu
你却不回来被岁月覆盖	ni que bu hui lai bei sui yue fu gai
你却微笑的离我而去	ni que wei xiao de li wo er qu
你是友情还是错过的爱情	ni shi you qing hai shi cuo guo de ai qing
你说的爱我	ni shuo de ai wo
你说的花开过去成空白	ni shuo de hua kai guo qu cheng kong bai
你说你会哭	ni shuo ni hui ku
你说你也会难过我不相信	ni shuo ni ye hui nan guo wo bu xiang xin
你说为了艺术要砍下一棵树	ni shuo wei le yi shu yao kan xia yi ke shu
你说为了装饰请问干我啥事	ni shuo wei le zhuang shi qing wen gan wo sha shi
你说我像一个小孩	ni shuo wo xiang yi ge xiao hai
你说依赖是我们的阻碍	ni shuo yi lai shi wo men de zu ai
你听得到	ni ting de dao
你无瑕的爱你从雨中来	ni wu xia de ai ni cong yu zhong lai
你像一团沼气	ni xiang yi tuan zhao qi
你需要勇气挥剑离去	ni xu yao yong qi hui jian li qu
你要离开我知道很简单	ni yao li kai wo zhi dao hen jian dan
你要我说多难堪我根本不想分开	ni yao wo shuo duo nan kan wo gen ben bu xiang fen kai
你也会感同身受地知道	ni ye hui gan tong shen shou di zhi dao
你已经远远离开我也会慢慢走开	ni yi jing yuan yuan li kai wo ye hui man man zou kai
你隐藏在窑烧里千年的秘密	ni yin cang zai yao shao li qian nian de mi mi
你应该很骄傲	ni ying gai hen jiao ao
你永远赢不了	ni yong yuan ying bu liao
你在橱窗前	ni zai chu chuang qian
你在那里	ni zai na li
你在我胸口睡着	ni zai wo xiong kou shui zhao
你只是想炫耀	ni zhi shi xiang xuan yao
你妆都花了要我怎么记得	ni zhuang dou hua le yao wo zen me ji de
你走	ni zou
你走之后酒暖回忆思念瘦	ni zou zhi hou jiu nuan hui yi si nian shou
娘子	niang zi
娘子娘子却依旧每日折一枝杨柳	niang zi niang zi que yi jiu mei ri zhe yi zhi yang liu
娘子却依旧每日折一枝杨柳	niang zi que yi jiu mei ri zhe yi zhi yang liu
娘子我欠你太多	niang zi wo qian ni tai duo
娘子依旧每日折一枝杨柳	niang zi yi jiu mei ri zhe yi zhi yang liu
鸟飞翔穿过这条小巷	niao fei xiang chuan guo zhe tiao xiao xiang
凝结成了霜	ning jie cheng le shuang
凝结了空气	ning jie le kong qi
凝视碑文的字眼	ning shi bei wen de zi yan
牛仔很忙	niu zai hen mang
牛仔很忙的	niu zai hen mang de
牛仔红蕃在小镇背对背决斗	niu zai hong fan zai xiao zhen bei dui bei jue dou
懦夫	nuo fu
哦跑到哪儿去了	o pao dao na er qu le
哦我亲爱的牛儿啊	o wo qin ai de niu er a
怕你会把我宠坏	pa ni hui ba wo chong huai
怕你上不了岸一辈子摇晃	pa ni shang bu liao an yi bei zi yao huang
配上几斤的牛肉	pei shang ji jin de niu rou
偏偏风渐渐把距离吹得好远	pian pian feng jian jian ba ju li chui de hao yuan
漂亮的回旋踢	piao liang de hui xuan ti
飘落了灿烂	piao luo le can lan
飘移	piao yi
平衡点	ping heng dian
瓶身描绘的牡丹一如你初妆	ping shen miao hui de mu dan yi ru ni chu zhuang
破城之后我却微笑绝不恋战	po cheng zhi hou wo que wei xiao jue bu lian zhan
破坏自然的生态会不会很累	po huai zi ran de sheng tai hui bu hui hen lei
蒲公英的约定	pu gong ying de yue ding
铺着榉木板的屋内还弥漫	pu zhe ju mu ban de wu nei hai mi man
七里香	qi li xiang
骑士精神	qi shi jing shen
其实我回家就想要阻止一切	qi shi wo hui jia jiu xiang yao zu zhi yi qie
前场速攻乒乓	qian chang su gong ping pang
千里之外本草纲目	qian li zhi wai ben cao gang mu
千里之外你无声黑白	qian li zhi wai ni wu sheng hei bai
前一秒说是朋友	qian yi miao shuo shi peng you
牵着你的手	qian zhe ni de shou
牵着你陪着我也只是曾经	qian zhe ni pei zhe wo ye zhi shi ceng jing
枪口它没长眼睛我曾经答应上帝	qiang kou ta mei zhang yan jing wo ceng jing da ying shang di
乔克叔叔	qiao ke shu shu
敲门敲敲门	qiao men qiao qiao men
亲爱的总些事没办法教	qin ai de zong xie shi mei ban fa jiao
