阿奇那	a qi na
如果不是匆匆的离别	ru guo bu shi cong cong de li bie
如烟	ru yan
若银斑隐	ruo yin ban yin
洒在热血滚烫的胸口	sa zai re xue gun tang de xiong kou
山一程	shan yi cheng
沈安	shen an
沈保平	shen bao ping
沈易直	shen yi zhi
沈珍珠	shen zhen zhu
是放得下离散	shi fang de xia li san
是辜负了圆满	shi gu fu le yuan man
是那白驹过隙的相拥	shi na bai ju guo xi de xiang yong
是千万里朝颜和暮雪	shi qian wan li zhao yan he mu xue
湿润了心间	shi run le xin jian
史思明	shi si ming
诗意了远方	shi yi le yuan fang
手中的美酒	shou zhong de mei jiu
舒畅	shu chang
谁留指纹印抹珍藏	shui liu zhi wen yin mo zhen cang
水一程	shui yi cheng
似昙花惊艳	si tan hua jing yan
素瓷	su ci
夙念	su nian
素颜	su yan
岁又增	sui you zeng
孙楠	sun nan
孙忠怀	sun zhong huai
所有的岁月	suo you de sui yue
太匆匆	tai cong cong
太艰险	tai jian xian
谭晶	tan jing
谭旋	tan xuan
汤晶媚	tang jing mei
汤水雨	tang shui yu
唐肃宗	tang su zong
唐文奇	tang wen qi
唐玄宗	tang xuan zong
唐韵	tang yun
徒留残陶余空吟悲	tu liu can tao yu kong yin bei
万茜	wan qian
万千荣宠惊慕	wan qian rong chong jing mu
万事通	wan shi tong
蜿蜒	wan yan
王铂清	wang bo qing
王劲松	wang jin song
王九胜	wang jiu sheng
王娟	wang juan
王凯	wang kai
往事烦忧	wang shi fan you
王小伟	wang xiao wei
魏超	wei chao
韦妃	wei fei
韦坚	wei jian
韦见素	wei jian su
为江山	wei jiang shan
为你成全	wei ni cheng quan
为你成全了世界	wei ni cheng quan le shi jie
温香软玉顾盼	wen xiang ruan yu gu pan
我丢失了语言	wo diu shi le yu yan
吴濠	wu hao
吴秀岚	wu xiu lan
无影无踪	wu ying wu zong
昔繁华已苍芜	xi fan hua yi cang wu
现沉淀的时光	xian chen dian de shi guang
想去牵	xiang qu qian
萧三娘	xiao san niang
小移地建	xiao yi di jian
卸不下	xie bu xia
卸下这厚重的铠甲	xie xia zhe hou zhong de kai jia
徐佳琦	xu jia qi
许烁	xu shuo
徐思雨	xu si yu
渲染了	xuan ran le
薛嵩	xue song
晏积瑄	yan ji xuan
严明	yan ming
闫巍	yan wei
杨国忠	yang guo zhong
杨明娜	yang ming na
杨天翔	yang tian xiang
杨希	yang xi
杨玉环	yang yu huan
瑶儿	yao er
叶护	ye hu
一步一摇一段回眸中	yi bu yi yao yi duan hui mou zhong
一身肝胆	yi shen gan dan
一生的悲欢	yi sheng de bei huan
一生的成败	yi sheng de cheng bai
一生的聚散	yi sheng de ju san
一生恋苦与甜	yi sheng lian ku yu tian
一朝一夕	yi zhao yi xi
银娥	yin e
尹涛	yin tao
釉烧	you shao
郁可唯	yu ke wei
俞庆	yu qing
玉书	yu shu
于小伟	yu xiao wei
愿为你去成全	yuan wei ni qu cheng quan
在你回眸间重叠	zai ni hui mou jian chong die
在人间终不见	zai ren jian zhong bu jian
再也无法说分别	zai ye wu fa shuo fen bie
怎会拼命想再见	zen hui pin ming xiang zai jian
怎奈对你情深切	zen nai dui ni qing shen qie
曾黎	zeng li
詹可明	zhan ke ming
张春仲	zhang chun zhong
张得玉	zhang de yu
张妃	zhang fei
长公主	zhang gong zhu
张海峰	zhang hai feng
张恒	zhang heng
张静	zhang jing
张凯	zhang kai
张维娜	zhang wei na
张莘荣	zhang xin rong
张遥函	zhang yao han
张震	zhang zhen
赵东泽	zhao dong ze
赵伟杰	zhao wei jie
这悲怆的年华	zhe bei chuang de nian hua
哲米依	zhe mi yi
郑巽	zheng xun
至此一生	zhi ci yi sheng
只盼伴来生共偎	zhi pan ban lai sheng gong wei
只为你的容颜	zhi wei ni de rong yan
只因当初遇见一瞬间	zhi yin dang chu yu jian yi shun jian
钟聪海	zhong cong hai
终须别	zhong xu bie
忠义的绵绸	zhong yi de mian chou
周洁颖	zhou jie ying
周之光	zhou zhi guang
朱红落点唇	zhu hong luo dian chun
朱礼庆	zhu li qing
朱祎	zhu yi
庄宝斌	zhuang bao bin
最留恋	zui liu lian
